"genotype"	"cell.width"	"cell.height"	"treatment"
"XA53"	28.9213274233043	93.0434752170928	"A"
"XA53"	18.9921700965613	3.02051525572315	"B"
"XA53"	40.9197598161176	75.8743411818519	"A"
"XA53"	33.1389955806546	NA	"A"
"control"	72.1092449936084	73.0636069395579	"B"
"control"	35.8885570691898	48.9257612406276	"B"
"XA53"	39.8640666861087	58.8348357150331	"B"
"XA53"	13.141525790561	15.1115622244775	"B"
"XA53"	15.0448761012405	27.9886098695919	"B"
"XA53"	47.0790477729402	53.9192698253319	"A"
"XA53"	81.999406393338	74.0515067048371	"B"
"XA53"	13.9409304767847	77.8273795557208	"A"
"XA53"	18.923100466188	6.03834991008043	"B"
"control"	28.8576992626302	42.0326586317271	"B"
"XA53"	47.0740523435175	14.9247085560113	"B"
"XA53"	76.1397997238673	38.9023538271897	"B"
"XA53"	65.8630575366318	82.1620600510389	"A"
"XA53"	7.89818984400481	17.9797808636911	"A"
"XA53"	41.8232283361256	46.130110033974	"A"
"XA53"	33.0962296752259	10.9704918860458	"A"
"XA53"	89.9142652547918	43.8682441337034	"A"
"XA53"	9.00026048095897	93.1832732612267	"B"
"XA53"	44.8321616577916	19.164265699964	"B"
"control"	36.1706782855093	39.1868432575837	"B"
"XA53"	71.8727071480826	5.07204602677375	"A"
"control"	64.135183928255	72.9884860214777	"B"
"XA53"	62.9339040735737	78.9067730807699	"A"
"XA53"	93.1841925199144	8.92863128073514	"B"
"XA53"	82.9829219210893	16.821513977088	"B"
"XA53"	79.8665717298165	19.8024967933074	"B"
"XA53"	16.9790366346948	83.8543586672284	"A"
"XA53"	27.1579444158822	9.03768934132531	"B"
"XA53"	25.1592003948055	37.0617108734325	"A"
"control"	46.9672319651581	62.9123255942017	"B"
"XA53"	84.9174728490412	88.1932867985219	"B"
"XA53"	16.949873444438	78.9777419691905	"A"
"XA53"	91.0381481184624	33.9664875638671	"A"
"XA53"	6.13140097614378	6.11519486131147	"A"
"XA53"	26.909074808564	93.9668115099892	"A"
"XA53"	10.8626031166874	68.1707467367873	"A"
"XA53"	1.88691749768332	30.0721323861741	"B"
"control"	73.1078555774875	55.1166835385375	"A"
"XA53"	95.8896143376827	83.0682967692614	"B"
"XA53"	59.8116127290763	91.0803170901723	"A"
"control"	24.1638077160344	44.1088235620409	"A"
"control"	59.8215073434636	71.0580180468038	"A"
"XA53"	68.8953325479291	31.952658495307	"A"
"XA53"	11.0903896383941	11.0902887779288	"B"
"XA53"	14.1858382774517	21.9564913030714	"A"
"XA53"	36.8820009307004	58.1330831196159	"A"
"XA53"	4.95975610166788	77.1435020513833	"A"
"XA53"	3.81181004457176	99.9710302581079	"B"
"XA53"	5.96710896445438	57.1399608774111	"A"
"control"	26.1943401010707	41.1918286385946	"B"
"XA53"	66.1508739688434	22.190972918272	"B"
"XA53"	95.856725915987	85.0018149781972	"A"
"XA53"	9.15751104094088	40.1182546113618	"B"
"XA53"	75.9458694870584	66.1167969817296	"B"
"control"	68.9910906254314	72.9462743256241	"B"
"control"	60.8950851551257	34.161503529083	"A"
"control"	38.9145775469951	42.0311461015604	"A"
"XA53"	99.0240465536714	69.9237608755939	"A"
"XA53"	57.9367761709727	84.0608580479398	"A"
"XA53"	19.0156269875355	81.8635342945345	"A"
"XA53"	43.0407047763467	74.8808090114035	"B"
"XA53"	98.8713518416509	84.0113564956933	"A"
"control"	59.1972650322132	62.9712573047727	"A"
"XA53"	20.9806622926146	41.8159755150788	"B"
"control"	38.0862366426736	72.8968622484244	"B"
"XA53"	15.9332393832505	3.95750318700448	"A"
"XA53"	54.9944761310704	41.8885840366595	"A"
"control"	51.0478789130226	68.9837203778327	"B"
"XA53"	18.9833248931915	93.9257125567645	"B"
"XA53"	10.1269435230643	NA	"A"
"XA53"	77.1538251063786	73.8678608285263	"B"
"XA53"	32.850377732981	4.05384304691106	"A"
"XA53"	4.99395110020414	40.035808466468	"A"
"XA53"	56.1310096348636	89.97426398471	"A"
"XA53"	84.9861472237855	10.0380549163558	"B"
"XA53"	13.8456680320203	52.0032140102237	"B"
"XA53"	58.0326143358834	60.1866349620745	"B"
"XA53"	84.915337053407	53.83978625983	"B"
"XA53"	23.1132717877626	76.0091638784856	"B"
"control"	29.0734000056982	58.1191088831052	"A"
"XA53"	17.8246713806875	71.041231163498	"A"
"XA53"	41.1280141769908	79.159742497839	"A"
"XA53"	4.03814390553161	92.151390942093	"B"
"XA53"	5.1123078674078	71.0808781752363	"A"
"XA53"	18.9915656388737	41.1518627986312	"B"
"XA53"	95.1267196222208	67.9901105226018	"B"
"control"	70.8408592601307	73.9645228120498	"A"
"XA53"	40.0306161283515	57.155379459355	"A"
"XA53"	24.9840706776828	83.0479464056902	"A"
"XA53"	83.068181689363	44.9187708988786	"A"
"control"	64.1143615692854	61.1657490363345	"A"
"XA53"	16.0337397143245	39.1843695179559	"A"
"XA53"	61.1294643521309	72.1513736833818	"B"
"XA53"	79.8713831649162	0.823049102630466	"B"
"control"	60.9837759807706	53.1357267770916	"A"
"XA53"	30.8367757677101	84.9918477401137	"B"
"XA53"	87.1944107995369	33.1959399107844	"B"
"control"	57.9143029863946	45.1598149359226	"A"
"XA53"	18.8209301145747	4.8902995144017	"B"
"XA53"	17.9252318984829	57.8351042286493	"A"
"control"	60.8042839417234	63.8750011862256	"A"
"XA53"	53.1878410298377	17.8496448080055	"B"
"XA53"	7.05495689390227	31.9238045432605	"A"
"XA53"	86.901227390673	92.1356749949045	"A"
"control"	51.8024358537979	58.077769909054	"A"
"XA53"	51.821777179651	NA	"A"
"XA53"	36.9985140872188	80.8214204579592	"B"
"XA53"	70.8670563854277	21.0842664456926	"A"
"control"	42.0122974740341	NA	"A"
"XA53"	55.94688870674	92.8932519502006	"A"
"XA53"	75.1836778458208	77.1659533340484	"A"
"XA53"	25.1836661390029	38.1821875368245	"B"
"XA53"	5.16011044196784	37.8624152258039	"A"
"control"	58.9020177726634	55.1959864131175	"A"
"XA53"	17.8859767436981	50.8276067321189	"A"
"XA53"	18.1433876176365	6.98719894420356	"B"
"XA53"	67.1715593877248	25.9237135580741	"B"
"XA53"	34.1382017014548	93.8194584476762	"B"
"XA53"	80.9423434432596	32.9835502026603	"B"
"XA53"	67.8735248700716	12.8371316158213	"A"
"XA53"	71.1966486513615	90.9244509912096	"A"
"XA53"	5.86768177328631	28.8384187122807	"B"
"XA53"	12.0228322627023	79.0073868227191	"A"
"XA53"	2.86825260939077	60.1289572896436	"B"
"XA53"	15.1265398086049	18.9040544719435	"B"
"XA53"	9.8519269281067	2.95235816668719	"B"
"XA53"	54.9033549481072	97.1783564871177	"B"
"XA53"	58.108755169902	58.069480186142	"A"
"XA53"	98.1120411896147	50.0900613537058	"B"
"XA53"	30.8156280474737	94.0823258472606	"A"
"XA53"	16.1561826311983	67.1790617452934	"B"
"XA53"	49.0952168308198	42.0927123035304	"A"
"XA53"	93.1228011291474	93.1972442210652	"A"
"XA53"	89.0195386978798	58.9619876158424	"B"
"XA53"	17.8686878181994	27.8632781933062	"A"
"XA53"	3.00798308234662	68.0844636594877	"B"
"XA53"	47.9803987133317	22.1018849208951	"B"
"XA53"	54.9717551117763	39.8325242711231	"A"
"XA53"	76.122003953252	13.8605571260676	"B"
"XA53"	23.1952012228779	86.0979219329543	"B"
"XA53"	21.9330769500695	87.1817918974906	"B"
"XA53"	79.0095260673203	1.98059832798317	"B"
"XA53"	37.1090537434444	22.1957241446711	"B"
"XA53"	66.1738533274271	24.1906459891237	"A"
"XA53"	57.093077444192	80.9499859861098	"A"
"control"	40.1323748093098	69.8198825233616	"A"
"XA53"	48.8874600213021	40.1956460790709	"B"
"XA53"	94.9122928185388	34.9619542281143	"B"
"XA53"	41.9905209793709	86.9332448885776	"B"
"XA53"	69.0884088591672	30.8114870009944	"B"
"XA53"	50.9721977539361	87.1710973308422	"B"
"XA53"	15.0497215894051	55.0041793624871	"A"
"XA53"	9.85440710587427	16.0183704564348	"A"
"XA53"	12.0340507951565	12.8251055339351	"B"
"XA53"	5.17130985166878	90.975566462893	"A"
"XA53"	62.1060257598758	58.8335042881779	"A"
"XA53"	77.1515626910143	0.950009948387742	"B"
"XA53"	20.1371478045359	46.0526185867377	"A"
"control"	33.9788639520295	66.1111738698557	"A"
"XA53"	96.813958719559	5.86732497410849	"A"
"XA53"	77.0194569804706	7.87552854875103	"A"
"XA53"	83.9679436536506	2.19667499400675	"B"
"XA53"	8.13436945928261	34.0902393748984	"B"
"control"	54.0673781858757	61.8710658161901	"B"
"XA53"	11.977059353888	21.1039532343857	"A"
"XA53"	97.9332724723034	18.1117704149336	"B"
"XA53"	63.8318967526779	98.1817054276355	"B"
"XA53"	75.8116623366252	21.1199329339899	"B"
"XA53"	72.1550452318043	89.9503208184615	"A"
"XA53"	60.8259287559427	88.8598810263909	"B"
"XA53"	90.8972107031383	22.9359043485485	"B"
"XA53"	82.978666801285	40.865741850622	"B"
"XA53"	33.886303378921	94.8184385050088	"B"
"XA53"	9.86406561546028	27.0716287163086	"B"
"XA53"	98.8577003064565	43.1420698355883	"B"
"XA53"	28.8269014550373	51.9842835173011	"A"
"XA53"	2.00205306978896	39.0454502715729	"A"
"XA53"	12.1036340862513	9.87354836044833	"B"
"control"	42.1840453100391	60.8744036568329	"A"
"XA53"	46.9691774887964	6.0640154148452	"A"
"XA53"	43.8577168538235	88.8660531902686	"B"
"XA53"	78.9812690941617	68.1344169847667	"B"
"XA53"	83.9141261957586	56.1557602636516	"A"
"XA53"	32.0532852557488	81.1636106914841	"A"
"XA53"	45.0694717408158	7.83209819113836	"A"
"XA53"	1.80265690339729	8.19006501091644	"B"
"XA53"	80.0645823328756	81.1061258932576	"B"
"XA53"	35.9186339398846	99.8592711990699	"A"
"XA53"	13.1818614594638	28.8172118631192	"A"
"control"	63.1537509233691	61.9463058298454	"A"
"control"	47.1609196147881	48.1096620859578	"B"
"XA53"	25.184320086427	1.93116509895772	"B"
"XA53"	84.9286874254234	7.04668116206303	"A"
"XA53"	97.1696701001376	48.0500518051907	"B"
"XA53"	10.8773008033633	54.8422393193468	"B"
"control"	46.8337696490809	28.0485355568118	"A"
"XA53"	95.1783082036302	80.8420715618879	"B"
"XA53"	12.9131926312111	57.8695445735939	"B"
"XA53"	95.0207116444595	72.0984647185542	"A"
"XA53"	58.1525308009237	94.0440616820008	"B"
"XA53"	38.8650241287425	90.9234568928368	"B"
"XA53"	17.9428800266236	63.8407199589536	"B"
"control"	72.1528831015341	75.9642711336724	"A"
"XA53"	91.1994170824066	2.1940652443096	"A"
"XA53"	48.8181776797399	81.0541555524804	"B"
"XA53"	29.8773534416221	72.1991338964552	"A"
"XA53"	85.0814196534455	33.8752917595208	"A"
"XA53"	46.0890182984062	93.9079198027961	"A"
"control"	55.8903462889604	52.8071535966359	"B"
"XA53"	96.0498767058365	4.97429295508191	"A"
"XA53"	13.9494607553817	NA	"B"
"XA53"	76.0764334515668	8.09304762836546	"A"
"XA53"	47.869677724503	85.8570575097576	"A"
"XA53"	59.9526533982717	1.01528561757877	"A"
"control"	59.1521987624466	27.9581859506667	"B"
"XA53"	15.1988157976419	83.8771094898693	"B"
"XA53"	91.1110653718002	42.1755581305362	"A"
"XA53"	90.1361450732686	90.9148172650486	"B"
"XA53"	89.156340937037	44.149427626282	"A"
"XA53"	78.8663194149733	59.8086531753652	"B"
"XA53"	21.8811886641197	88.0196204505861	"A"
"XA53"	41.1373033002019	25.0571834759787	"A"
"XA53"	42.866832187213	18.9253058324568	"B"
"XA53"	34.0990327158943	88.180355182942	"A"
"XA53"	16.9372013368644	14.1797715229914	"B"
"XA53"	66.0959307129495	90.1669897978194	"A"
"XA53"	80.1787928804755	88.0352591523901	"B"
"XA53"	21.8833403415047	55.0779346394353	"A"
"XA53"	73.8696807684377	5.87847321052104	"A"
"XA53"	11.0557981349528	69.8066206316464	"A"
"XA53"	9.14976452533156	29.1726729580201	"B"
"XA53"	74.1160790555179	61.8688921954483	"A"
"XA53"	55.9273763846606	31.1033106065355	"B"
"XA53"	16.862868519593	11.9611057769507	"B"
"XA53"	17.1672601624392	60.1653026367538	"B"
"XA53"	32.1349969757721	12.8337264838628	"B"
"XA53"	26.8275113934651	99.9347294059582	"A"
"XA53"	65.0633101344109	93.0385070792399	"A"
"XA53"	75.1258059695363	7.01825400516391	"A"
"XA53"	82.8376476082951	78.9951715966687	"A"
"XA53"	41.8357952623628	20.17525937194	"A"
"XA53"	67.1772528218105	20.8824124631472	"A"
"XA53"	74.1668860911392	17.1416731527075	"A"
"XA53"	53.1756465445273	22.0075085373595	"B"
"control"	50.837352310773	64.0787566442043	"A"
"XA53"	68.1811826680787	53.8651944182813	"B"
"XA53"	62.9303509496152	97.9289576421492	"A"
"control"	55.0691299796104	50.941538955085	"B"
"control"	33.8298018882051	58.0215879024938	"A"
"control"	44.8317315969616	27.8698932288215	"A"
"XA53"	48.1465313027613	77.8746615271084	"B"
"XA53"	93.1141543157399	96.199347953219	"A"
"XA53"	75.1101961771026	6.07888961574063	"B"
"XA53"	85.9361184700392	47.8220716495998	"A"
"XA53"	63.027972392831	12.9571099103428	"A"
"XA53"	23.871714016702	59.8577278404497	"A"
"XA53"	2.9580755523406	87.0158760730177	"B"
"XA53"	92.1088836862706	50.023767104093	"A"
"control"	52.1873356438242	59.0219400655478	"A"
"XA53"	66.0069887395948	12.1111228641123	"A"
"control"	44.1092920714058	53.9194540529512	"A"
"XA53"	36.1226739637554	85.8152341772802	"A"
"XA53"	78.0685673902743	95.8349791390821	"B"
"XA53"	71.042983995378	14.1672993110493	"A"
"XA53"	93.938057938125	NA	"B"
"control"	67.0026137874462	46.8574560206383	"A"
"XA53"	16.0386825602502	90.040464246273	"A"
"XA53"	77.8461876086891	82.8167459255084	"B"
"control"	30.873201073613	75.9720550296828	"B"
"XA53"	96.1296442557126	48.8115750833415	"A"
"XA53"	20.0318692220375	48.1458169507794	"A"
"XA53"	13.0993795116432	24.0430803063326	"B"
"XA53"	10.1493357013911	51.9003303191625	"B"
"control"	71.1054733000696	54.858626279328	"A"
"XA53"	11.8702734823339	68.1974506434985	"B"
"XA53"	24.1678097978234	72.9524179400876	"B"
"XA53"	35.0123180118389	22.0454866355285	"A"
"XA53"	39.8755872406997	87.1271026935428	"A"
"XA53"	41.0839433661662	36.1551590182819	"A"
"control"	47.9242304276675	49.0226238084026	"A"
"control"	72.174711647816	67.0191445941105	"A"
"XA53"	85.0525146515109	77.1804059941322	"B"
